닭볶음탕,85,korean,spicy,true,true,others,true,chicken,false,NA
곱도리탕,86,korean,spicy,true,true,others,true,beef,false,NA
제육볶음,87,korean,spicy,true,false,rice,true,pork,false,NA
파전,88,korean,notSpicy,true,false,others,false,NA,false,NA
해물파전,89,korean,notSpicy,true,false,others,false,NA,true,others
김치전,90,korean,depends,true,false,others,false,NA,false,NA
동태찌개,91,korean,depends,true,true,rice,false,NA,true,fish
알탕,92,korean,depends,true,true,rice,false,NA,true,fish
아구찜,93,korean,spicy,true,false,others,false,NA,true,fish
보쌈,94,korean,notSpicy,true,false,others,true,pork,false,NA
족발,95,korean,notSpicy,true,false,others,true,pork,false,NA
매운족발,96,korean,spicy,true,false,others,true,pork,false,NA
순대볶음,97,korean,spicy,true,false,others,false,NA,false,NA
순대,98,korean,notSpicy,true,false,others,false,NA,false,NA
떡볶이,99,korean,spicy,true,true,others,false,NA,false,NA
로제떡볶이,100,korean,spicy,true,true,others,false,NA,false,NA
오뎅탕,101,korean,notSpicy,true,true,others,false,NA,true,others
삼합,102,korean,notSpicy,true,false,others,true,pork,true,fish
닭강정,103,korean,depends,true,false,others,true,chicken,false,NA
간장찜닭,104,korean,notSpicy,true,true,others,true,chicken,false,NA
고추장찜닭,105,korean,spicy,true,true,others,true,chicken,false,NA
로제찜닭,106,korean,spicy,true,true,others,true,chicken,false,NA
삼계탕,107,korean,notSpicy,true,true,others,true,chicken,false,NA
닭발,108,korean,spicy,true,false,others,true,chicken,false,NA
닭갈비,109,korean,spicy,true,false,others,true,chicken,false,NA
돈까스 (경양식),110,western,notSpicy,true,false,others,true,pork,false,NA
김밥,111,korean,notSpicy,false,false,rice,false,NA,false,NA
참치김밥,112,korean,notSpicy,false,false,rice,false,NA,true,fish
바지락칼국수,113,korean,notSpicy,true,true,noodle,false,NA,true,others
들깨칼국수,114,korean,notSpicy,true,true,noodle,false,NA,false,NA
김치칼국수,115,korean,depends,true,true,noodle,false,NA,false,NA
수제비,116,korean,notSpicy,true,true,others,false,NA,false,NA
김치수제비,117,korean,depends,true,true,others,false,NA,false,NA
쫄면,118,korean,spicy,false,false,noodle,false,NA,false,NA
떡국,119,korean,notSpicy,true,true,others,false,NA,false,NA
만두국,120,korean,notSpicy,true,true,others,false,NA,false,NA
떡만두국,121,korean,notSpicy,true,true,others,false,NA,false,NA
고기만두,122,korean,notSpicy,true,false,others,true,pork,false,NA
김치만두,123,korean,depends,true,false,others,true,pork,false,NA
갈비만두,124,korean,notSpicy,true,false,others,true,pork,false,NA
군만두,125,korean,notSpicy,true,false,others,true,pork,false,NA
라볶이,126,korean,spicy,true,true,noodle,false,NA,false,NA
냉모밀,127,japanese,notSpicy,false,true,noodle,false,NA,false,NA
메밀소바,128,japanese,notSpicy,false,true,noodle,false,NA,false,NA
카레 (일식),129,japanese,depends,true,false,rice,false,NA,false,NA
카레 (인도식),130,others,depends,true,false,others,false,NA,false,NA
오징어덮밥,131,korean,spicy,true,false,rice,false,NA,true,others
낙지볶음,132,korean,spicy,true,false,rice,false,NA,true,others
쭈꾸미볶음,133,korean,spicy,true,false,rice,false,NA,true,others
콩비지찌개,134,korean,depends,true,true,rice,false,NA,false,NA
고등어구이,135,korean,notSpicy,true,false,others,false,NA,true,fish
삼치구이,136,korean,notSpicy,true,false,others,false,NA,true,fish
감자탕,137,korean,depends,true,true,others,true,pork,false,NA
고등어조림,138,korean,notSpicy,true,false,rice,false,NA,true,fish
갈치조림,139,korean,notSpicy,true,false,rice,false,NA,true,fish
간장게장,140,korean,notSpicy,false,false,rice,false,NA,true,others
양념게장,141,korean,spicy,false,false,rice,false,NA,true,others
꽁치조림,142,korean,notSpicy,true,false,rice,false,NA,true,fish
갈비탕,143,korean,notSpicy,true,true,rice,true,beef,false,NA
부대찌개,144,korean,depends,true,true,others,true,pork,false,NA
가정식 백반,145,korean,notSpicy,true,false,rice,false,NA,false,NA
미역국,146,korean,notSpicy,true,true,rice,false,NA,false,NA
추어탕,147,korean,notSpicy,true,true,rice,false,NA,true,fish
돼지짜글이,148,korean,depends,true,true,rice,true,pork,false,NA
곱창전골,149,korean,depends,true,true,others,true,beef,false,NA
만두전골,150,korean,notSpicy,true,true,others,true,pork,false,NA
버섯전골,151,korean,notSpicy,true,true,others,false,NA,false,NA
두부전골,152,korean,notSpicy,true,true,others,false,NA,false,NA
해물탕,153,korean,depends,true,true,others,false,NA,true,others
샤브샤브,154,korean,notSpicy,true,true,others,true,beef,false,NA
오리주물럭,155,korean,depends,true,false,others,true,others,false,NA
오리구이,156,korean,notSpicy,true,false,others,true,others,false,NA
오삼불고기,157,korean,spicy,true,false,rice,true,pork,true,others
등갈비,158,korean,notSpicy,true,false,others,true,pork,false,NA
대패삼겹살,159,korean,notSpicy,true,false,others,true,pork,false,NA
양념소갈비,160,korean,notSpicy,true,false,others,true,beef,false,NA
양념돼지갈비,161,korean,notSpicy,true,false,others,true,pork,false,NA
장어구이,162,korean,notSpicy,true,false,others,false,NA,true,fish
육회비빔밥,163,korean,notSpicy,false,false,rice,true,beef,false,NA
회덮밥,164,korean,notSpicy,false,false,rice,false,NA,true,fish
회무침,165,korean,spicy,false,false,others,false,NA,true,fish
활어회,166,korean,notSpicy,false,false,others,false,NA,true,fish
해물찜,167,korean,notSpicy,true,false,others,false,NA,true,others
수육,168,korean,notSpicy,true,false,others,true,pork,false,NA
후라이드치킨,169,korean,notSpicy,true,false,others,true,chicken,false,NA
양념치킨,170,korean,depends,true,false,others,true,chicken,false,NA
매운탕,171,korean,spicy,true,true,others,false,NA,true,fish
물회,172,korean,notSpicy,false,true,others,false,NA,true,fish
북엇국,173,korean,notSpicy,true,true,rice,false,NA,true,fish
계란찜,174,korean,notSpicy,true,true,others,false,NA,false,NA
육전,175,korean,notSpicy,true,false,others,true,beef,false,NA
술국,176,korean,notSpicy,true,true,others,false,NA,false,NA
누룽지탕,177,korean,notSpicy,true,true,others,false,NA,false,NA
간장치킨,178,korean,notSpicy,true,false,others,true,chicken,false,NA
알밥,179,korean,notSpicy,true,false,rice,false,NA,false,NA
옛날통닭,180,korean,notSpicy,true,false,others,true,chicken,false,NA
방어회,181,japanese,notSpicy,false,false,others,false,NA,true,fish
연어초밥,182,japanese,notSpicy,false,false,rice,false,NA,true,fish
모듬초밥,183,japanese,notSpicy,false,false,rice,false,NA,true,fish
쌀국수,184,others,notSpicy,true,true,noodle,false,NA,false,NA
분짜,185,others,notSpicy,true,false,noodle,true,pork,false,NA
팟타이,186,others,notSpicy,true,false,noodle,false,NA,false,NA
파스타 (토마토),187,western,notSpicy,true,false,noodle,false,NA,false,NA
파스타 (크림),188,western,notSpicy,true,false,noodle,false,NA,false,NA
파스타 (오일),189,western,notSpicy,true,false,noodle,false,NA,false,NA
냉채족발,190,korean,depends,false,false,others,true,pork,false,NA
비프버거,191,western,notSpicy,true,false,others,true,beef,false,NA
치킨버거,192,western,depends,true,false,others,true,chicken,false,NA
샌드위치,193,western,notSpicy,false,false,others,false,NA,false,NA
연어포케,194,western,notSpicy,false,false,others,false,NA,true,fish
연어샐러드,195,western,notSpicy,false,false,others,false,NA,true,fish
피자,196,western,notSpicy,true,false,others,false,NA,false,NA
리조또,197,western,depends,true,false,rice,false,NA,false,NA
핫도그 (한국식),198,korean,notSpicy,true,false,others,true,pork,false,NA
뇨끼,199,western,notSpicy,true,false,others,false,NA,false,NA
파니니,200,western,notSpicy,true,false,others,false,NA,false,NA
참치 (마구로),201,japanese,notSpicy,false,false,others,false,NA,true,fish
텐동,202,japanese,notSpicy,true,false,rice,false,NA,true,others
사케동,203,japanese,notSpicy,true,false,rice,false,NA,true,fish
나베,204,japanese,notSpicy,true,true,others,false,NA,false,NA
라멘,205,japanese,notSpicy,true,true,noodle,false,NA,false,NA
돈카츠,206,japanese,notSpicy,true,false,others,true,pork,false,NA
규카츠,207,japanese,notSpicy,true,false,others,true,beef,false,NA
오코노미야끼,208,japanese,notSpicy,true,false,others,false,NA,false,NA
야끼소바,209,japanese,notSpicy,true,false,noodle,false,NA,false,NA
스테이크,210,western,notSpicy,true,false,others,true,beef,false,NA
토스트,211,western,notSpicy,true,false,others,false,NA,false,NA
치아바타,212,western,notSpicy,true,false,others,false,NA,false,NA
베이글,213,western,notSpicy,true,false,others,false,NA,false,NA
일본가정식,214,japanese,notSpicy,true,false,rice,false,NA,false,NA
사시미,215,japanese,notSpicy,false,false,others,false,NA,true,fish
컵밥,216,korean,notSpicy,true,false,rice,false,NA,false,NA
라면,217,korean,notSpicy,true,true,noodle,false,NA,false,NA
부리또,218,others,notSpicy,true,false,others,true,others,false,NA
타코,219,others,notSpicy,true,false,others,true,others,false,NA
멕시코 음식,220,others,notSpicy,true,false,others,false,NA,false,NA
딤섬,221,chinese,notSpicy,true,false,others,true,pork,false,NA
닭칼국수,222,korean,notSpicy,true,true,noodle,true,chicken,false,NA
